[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_imap.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_imap.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_imap.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_bz2.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_bz2.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_bz2.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mbstring.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_mbstring.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_mbstring.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_sodium.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_sodium.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_sodium.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_tidy.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_tidy.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_tidy.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_xsl.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_xsl.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_xsl.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_soap.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_soap.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_soap.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_mysqli.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_mysqli.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_mysqli.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_pdo_mysql.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_pdo_mysql.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_pdo_mysql.dll.dll (The specified module could not be found.)) in Unknown on line 0
[26-Aug-2024 16:43:06 UTC] PHP Warning:  PHP Startup: Unable to load dynamic library 'php_fileinfo.dll' (tried: C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_fileinfo.dll (The specified module could not be found.), C:/Users/jabbe/AppData/Roaming/Local/lightning-services/php-8.1.29+0/bin/win64/ext\php_php_fileinfo.dll.dll (The specified module could not be found.)) in Unknown on line 0
